epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,588.836,0.17277,2.69987,0.7815,0.76595,0.47024,0.5335,0.53245,0.13898,2.00495,0.80945,0.00333239,0.00333239,0.0700085
2,1167.7,0.15135,1.79003,0.77687,0.73782,0.56369,0.64601,0.64515,0.13399,1.448,0.81041,0.005723,0.005723,0.0390658
3,1743.53,0.1493,1.36127,0.77529,0.74518,0.63877,0.72622,0.72453,0.14437,1.1703,0.81042,0.00717075,0.00717075,0.00718019
4,2316.54,0.14982,1.08453,0.77444,0.79331,0.73561,0.81856,0.81761,0.12742,0.86457,0.80795,0.00575714,0.00575714,0.00575714
5,2889.79,0.14243,0.8858,0.77115,0.81875,0.76656,0.85147,0.85051,0.1234,0.75846,0.80644,0.00434286,0.00434286,0.00434286
6,3467.2,0.13421,0.76271,0.76941,0.82522,0.80255,0.8701,0.86924,0.11689,0.67388,0.80362,0.00292857,0.00292857,0.00292857
7,4039.35,0.1287,0.67728,0.76821,0.84746,0.82246,0.88541,0.8847,0.11281,0.60431,0.80304,0.00151429,0.00151429,0.00151429
