epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24433.9,0.15707,0.49695,0.76844,0.94084,0.87219,0.9217,0.92077,0.11501,0.41499,0.79073,0.00492625,0.00492625,0.00492625
43,25003,0.15507,0.4881,0.76631,0.93662,0.87247,0.92186,0.92103,0.11415,0.41582,0.79005,0.0048025,0.0048025,0.0048025
44,25569.8,0.15018,0.49206,0.76726,0.93917,0.87353,0.92099,0.92046,0.10908,0.41558,0.7918,0.00467875,0.00467875,0.00467875
45,26141.5,0.15054,0.48025,0.7674,0.9398,0.87478,0.92133,0.92079,0.10739,0.40544,0.7898,0.004555,0.004555,0.004555
46,26705,0.14809,0.4744,0.76628,0.94146,0.87131,0.92271,0.92221,0.10815,0.40936,0.79069,0.00443125,0.00443125,0.00443125
47,27270.4,0.14321,0.47414,0.7672,0.93686,0.87899,0.92294,0.92246,0.10659,0.40408,0.79107,0.0043075,0.0043075,0.0043075
48,27833.7,0.14319,0.46124,0.76572,0.93924,0.87709,0.92264,0.92219,0.104,0.39686,0.78923,0.00418375,0.00418375,0.00418375
49,28397.5,0.14075,0.45808,0.765,0.94453,0.87333,0.92245,0.92198,0.10302,0.39703,0.78983,0.00406,0.00406,0.00406
50,28961.9,0.13868,0.45131,0.7647,0.94188,0.87615,0.92233,0.9218,0.10526,0.3964,0.7889,0.00393625,0.00393625,0.00393625
51,29533.1,0.13597,0.45131,0.76495,0.93649,0.8746,0.92241,0.92206,0.10327,0.39855,0.78932,0.0038125,0.0038125,0.0038125
52,30099.9,0.13489,0.44006,0.76488,0.94425,0.87366,0.92199,0.9216,0.1031,0.40078,0.78828,0.00368875,0.00368875,0.00368875
53,30663.2,0.1331,0.43485,0.76291,0.93916,0.87731,0.92305,0.9226,0.10146,0.39557,0.78799,0.003565,0.003565,0.003565
